10.000000 Hz,20.000000 Hz,30.000000 Hz,filterResponse
0,0,0,
0.020791,0.040674,0.058779,
0.063544,0.119056,0.159762,
0.126598,0.221999,0.264966,
0.207218,0.331746,0.334265,
0.301882,0.429323,0.341195,
0.406454,0.497859,0.283109,
0.516364,0.525504,0.182195,
0.626807,0.507477,0.076998,
0.732957,0.446896,0.0077,
0.830174,0.354236,0.00077,
0.893419,0.204844,7.7E-05,
0.917849,0.020484,8E-06,
0.902187,-0.167372,1E-06,
0.847097,-0.326283,0,
0.754986,-0.428777,0,
0.629878,-0.457131,0,
0.477241,-0.406443,0,
0.303747,-0.285478,0,
0.116977,-0.11515,0,
-0.074905,0.075088,0,
-0.263513,0.252342,0,
-0.440605,0.385964,0,
-0.59844,0.45285,0,
-0.73012,0.441434,0,
-0.829891,0.353689,0,
-0.893391,0.204789,0,
-0.917846,0.020479,0,
-0.902187,-0.167372,0,
-0.847097,-0.326283,0,
-0.754986,-0.428777,0,
-0.629878,-0.457131,0,
-0.477241,-0.406443,0,
-0.303747,-0.285478,0,
-0.116977,-0.11515,0,
0.074905,0.075088,0,
0.263513,0.252342,0,
0.440605,0.385964,0,
0.59844,0.45285,0,
0.73012,0.441434,0,
0.829891,0.353689,0,
0.893391,0.204789,0,
0.917846,0.020479,0,
0.902187,-0.167372,0,
0.847097,-0.326283,0,
0.754986,-0.428777,0,
0.629878,-0.457131,0,
0.477241,-0.406443,0,
0.303747,-0.285478,0,
0.116977,-0.11515,0,
-0.074905,0.075088,0,
-0.263513,0.252342,0,
-0.440605,0.385964,0,
-0.59844,0.45285,0,
-0.73012,0.441434,0,
-0.829891,0.353689,0,
-0.893391,0.204789,0,
-0.917846,0.020479,0,
-0.902187,-0.167372,0,
-0.847097,-0.326283,0,
-0.754986,-0.428777,0,
-0.629878,-0.457131,0,
-0.477241,-0.406443,0,
-0.303747,-0.285478,0,
-0.116977,-0.11515,0,
0.074905,0.075088,0,
0.263513,0.252342,0,
0.440605,0.385964,0,
0.59844,0.45285,0,
0.73012,0.441434,0,
0.829891,0.353689,0,
0.893391,0.204789,0,
0.917846,0.020479,0,
0.902187,-0.167372,0,
0.847097,-0.326283,0,
0.754986,-0.428777,0,
0.629878,-0.457131,0,
0.477241,-0.406443,0,
0.303747,-0.285478,0,
0.116977,-0.11515,0,
-0.074905,0.075088,0,
-0.263513,0.252342,0,
-0.440605,0.385964,0,
-0.59844,0.45285,0,
-0.73012,0.441434,0,
-0.829891,0.353689,0,
-0.893391,0.204789,0,
-0.917846,0.020479,0,
-0.902187,-0.167372,0,
-0.847097,-0.326283,0,
-0.754986,-0.428777,0,
-0.629878,-0.457131,0,
-0.477241,-0.406443,0,
-0.303747,-0.285478,0,
-0.116977,-0.11515,0,
0.074905,0.075088,0,
0.263513,0.252342,0,
0.440605,0.385964,0,
0.59844,0.45285,0,
0.73012,0.441434,0,
0.829891,0.353689,0,
0.893391,0.204789,0,
0.917846,0.020479,0,
0.902187,-0.167372,0,
0.847097,-0.326283,0,
0.754986,-0.428777,0,
0.629878,-0.457131,0,
0.477241,-0.406443,0,
0.303747,-0.285478,0,
0.116977,-0.11515,0,
-0.074905,0.075088,0,
-0.263513,0.252342,0,
-0.440605,0.385964,0,
-0.59844,0.45285,0,
-0.73012,0.441434,0,
-0.829891,0.353689,0,
-0.893391,0.204789,0,
-0.917846,0.020479,0,
-0.902187,-0.167372,0,
-0.847097,-0.326283,0,
-0.754986,-0.428777,0,
-0.629878,-0.457131,0,
-0.477241,-0.406443,0,
-0.303747,-0.285478,0,
-0.116977,-0.11515,0,
0.074905,0.075088,0,
0.263513,0.252342,0,
0.440605,0.385964,0,
0.59844,0.45285,0,
0.73012,0.441434,0,
0.829891,0.353689,0,
0.893391,0.204789,0,
0.917846,0.020479,0,
0.902187,-0.167372,0,
0.847097,-0.326283,0,
0.754986,-0.428777,0,
0.629878,-0.457131,0,
0.477241,-0.406443,0,
0.303747,-0.285478,0,
0.116977,-0.11515,0,
-0.074905,0.075088,0,
-0.263513,0.252342,0,
-0.440605,0.385964,0,
-0.59844,0.45285,0,
-0.73012,0.441434,0,
-0.829891,0.353689,0,
-0.893391,0.204789,0,
-0.917846,0.020479,0,
-0.902187,-0.167372,0,
-0.847097,-0.326283,0,
-0.754986,-0.428777,0,
-0.629878,-0.457131,0,
-0.477241,-0.406443,0,
-0.303747,-0.285478,0,
-0.116977,-0.11515,0,
0.074905,0.075088,0,
0.263513,0.252342,0,
0.440605,0.385964,0,
0.59844,0.45285,0,
0.73012,0.441434,0,
0.829891,0.353689,0,
0.893391,0.204789,0,
