Customer_ID,Sign_up_date,Last_order_placed_date,No_of_orders_placed,Maximum_bill,Minimum_bill,No_of_Review_given,No_of_Comment_added,No_of_Images_added,No_of_issues_raised,Orders_returned,Category_of_customers,Gender,Premium,Gift_card_amount
ID0x340a,09/22/2012 05:57 AM,12/12/2020 01:01 AM,152,,161.37,76.0,29,,33,4,Active,Female,No,112
ID0x547,06/29/2017 08:24 PM,05/01/2019 07:07 AM,59,693.3,101.0,31.0,7,6.0,3,1,Active,Male,No,111
ID0x10d1,07/12/2014 06:24 AM,06/17/2015 08:28 AM,77,907.98,217.0,37.0,15,12.0,10,2,Passive,Female,No,37
ID0x2395,12/30/2013 03:34 PM,05/12/2018 03:30 AM,337,2406.31,239.43,153.0,40,46.0,50,19,Passive,Male,No,27
ID0x1fea,05/29/2015 02:29 AM,07/11/2018 01:18 PM,269,777.26,182.65,93.0,64,16.0,38,6,Passive,Female,Yes,123
ID0x18b9,05/14/2015 04:29 AM,01/03/2016 05:49 AM,40,416.66,232.07,13.0,5,5.0,4,2,Passive,Male,No,33
ID0x44a,10/24/2017 09:41 PM,10/05/2019 07:18 AM,56,1066.73,205.0,31.0,12,7.0,5,3,Active,Male,No,63
ID0x3472,10/08/2013 08:23 PM,02/21/2014 09:14 AM,73,552.91,233.0,25.0,9,4.0,4,2,Inactive,Female,No,32
ID0x22e3,07/12/2017 03:21 AM,07/14/2017 04:21 PM,25,819.9,182.59,14.0,4,1.0,4,0,Passive,Female,No,22
ID0x37a7,11/05/2014 12:04 PM,09/05/2018 06:23 AM,305,1454.26,249.34,103.0,63,38.0,62,13,Passive,Female,Yes,128
ID0x3f4a,12/26/2019 01:22 PM,08/01/2020 12:52 PM,71,1120.82,237.0,39.0,11,5.0,5,1,Active,Female,No,82
ID0x1e65,07/09/2011 11:33 AM,12/13/2011 09:54 PM,22,670.48,139.9,9.0,5,1.0,3,0,Inactive,Female,Yes,75
ID0x3ddd,09/30/2016 08:09 PM,08/31/2017 01:56 AM,51,639.66,149.0,20.0,11,5.0,4,1,Passive,Male,No,42
ID0x23b2,02/25/2014 01:44 AM,12/23/2016 11:26 PM,192,1586.0,229.86,101.0,38,19.0,24,7,Passive,Male,No,126
ID0x2989,07/14/2012 06:53 PM,02/10/2016 07:20 PM,186,1420.85,319.51,88.0,41,27.0,28,3,Passive,Male,Yes,126
ID0x6f5,03/15/2019 10:10 AM,08/22/2019 01:35 AM,55,151.05,84.0,27.0,13,9.0,3,1,Active,Male,No,110
ID0xbe8,07/01/2013 12:53 PM,,237,1307.78,236.56,94.0,33,27.0,19,14,Active,Male,No,97
ID0x12dc,05/14/2014 07:28 PM,04/03/2018 04:20 AM,349,2041.15,160.9,169.0,50,36.0,61,3,Passive,Male,No,133
ID0xa17,08/06/2018 12:07 AM,02/16/2021 07:20 AM,67,632.16,76.0,32.0,15,4.0,7,2,Active,Female,No,64
ID0x38f3,05/03/2014 08:53 PM,03/21/2019 12:26 PM,142,134.02,175.76,70.0,34,10.0,6,4,Active,Male,No,97
ID0x3b2a,,01/15/2021 01:56 AM,202,,244.49,115.0,48,30.0,46,0,Active,Male,No,113
ID0x612,09/16/2016 11:13 PM,12/27/2018 09:43 AM,65,934.42,164.0,30.0,11,3.0,8,0,Passive,Male,No,32
ID0x1a90,07/01/2018 02:00 PM,05/28/2019 01:06 AM,21,591.79,185.48,10.0,5,,1,0,Active,Female,No,45
ID0x2d67,04/22/2011 08:30 AM,08/10/2014 01:41 AM,115,2431.43,91.38,,15,10.0,22,1,Inactive,Female,No,120
ID0x3eb3,04/03/2012 04:12 AM,12/08/2019 04:12 PM,239,2649.64,220.0,81.0,39,21.0,53,6,Active,Female,No,106
ID0x354f,10/26/2012 01:47 PM,01/31/2019 04:16 AM,133,948.11,146.8,69.0,29,,19,3,Active,Male,No,92
ID0x38a6,06/14/2019 08:33 AM,12/17/2020 05:09 PM,22,722.2,232.26,8.0,62,3.0,5,0,Active,Female,No,58
ID0xbc4,09/05/2015 05:14 AM,09/05/2018 01:30 PM,208,394.38,142.32,114.0,46,18.0,10,1,Passive,Male,Yes,114
ID0x7ff,05/24/2010 10:04 AM,12/03/2010 05:14 AM,27,721.14,112.42,12.0,4,4.0,5,0,Inactive,Male,No,40
ID0x3e3f,10/18/2010 01:54 PM,11/26/2015 05:03 PM,228,1445.68,90.95,87.0,30,35.0,17,5,Passive,Male,No,135
ID0x3776,08/13/2017 12:33 PM,11/19/2019 06:36 PM,26,73.89,222.99,12.0,5,2.0,2,0,Active,Male,No,53
ID0x2cc9,07/29/2011 04:41 AM,01/13/2013 11:44 PM,24,851.53,150.67,13.0,3,1.0,1,1,Inactive,Male,Yes,84
ID0x375e,08/06/2011 07:20 PM,11/17/2013 07:32 PM,28,882.25,237.35,12.0,3,4.0,5,1,Inactive,Male,No,20
ID0x1bd4,01/12/2016 03:00 PM,04/08/2018 01:15 AM,50,429.12,107.6,,8,7.0,10,2,Passive,Female,Yes,73
ID0x862,11/07/2010 03:34 AM,05/08/2012 10:58 AM,23,425.7,82.44,10.0,5,3.0,4,0,Inactive,Male,No,44
ID0x22b7,06/14/2017 04:43 PM,10/01/2018 05:45 AM,20,159.52,113.82,8.0,3,1.0,4,0,Passive,Female,No,12
ID0xc3c,09/13/2019 06:01 PM,01/29/2020 12:19 PM,73,685.34,249.0,28.0,15,4.0,4,4,Active,Male,Yes,100
ID0x24c2,12/30/2016 03:47 PM,08/30/2018 01:42 AM,47,284.98,185.52,18.0,12,4.0,9,12,Passive,Male,Yes,87
ID0x155c,05/30/2012 05:07 PM,02/01/2017 09:36 AM,166,2395.02,260.17,83.0,38,26.0,12,3,Passive,Female,Yes,132
ID0x3b2d,05/21/2013 11:33 AM,01/13/2016 12:55 PM,29,,183.29,9.0,6,1.0,1,13,Passive,Male,No,18
ID0x16a0,08/01/2017 10:33 AM,10/12/2018 11:31 AM,57,358.94,143.0,19.0,12,7.0,7,0,Passive,Male,No,65
ID0x16fb,04/20/2011 08:40 AM,10/08/2016 12:20 AM,80,988.78,144.0,30.0,15,13.0,14,4,Passive,Male,No,37
ID0xccd,02/22/2017 08:05 AM,06/27/2017 08:05 PM,75,586.02,186.0,27.0,11,11.0,3,2,Passive,Male,No,77
ID0x1bae,04/25/2012 05:48 PM,,293,2094.84,116.0,125.0,37,23.0,43,2,Active,Male,Yes,163
ID0x28e1,11/08/2014 08:03 PM,02/03/2020 03:48 PM,293,2227.23,330.39,,65,17.0,32,2,Active,Male,No,89
ID0x1dab,04/11/2015 01:47 AM,09/24/2017 12:14 PM,24,205.07,116.18,11.0,3,2.0,3,0,Passive,Female,No,18
ID0x1178,03/29/2019 01:21 PM,05/12/2020 10:11 PM,28,583.59,101.93,9.0,5,4.0,2,1,Active,Male,No,76
ID0x38f8,08/28/2016 01:59 PM,02/05/2017 04:39 PM,44,802.08,235.57,15.0,7,4.0,8,0,Passive,Female,No,48
ID0x77c,11/14/2017 05:03 PM,02/25/2021 11:39 AM,195,568.87,332.75,93.0,34,30.0,10,2,,Female,No,139
ID0xd19,10/02/2018 08:14 AM,05/26/2019 05:45 AM,53,225.69,185.0,22.0,6,7.0,12,2,Active,Female,No,85
ID0x217c,04/03/2013 12:53 PM,05/27/2015 09:11 PM,34,855.83,217.95,15.0,5,2.0,7,0,Passive,Male,No,17
ID0xb49,07/19/2010 05:01 PM,02/04/2012 08:49 PM,70,1105.03,288.0,30.0,9,11.0,3,3,Inactive,Male,No,31
ID0xe4d,12/17/2013 07:45 PM,01/23/2020 02:48 AM,209,280.08,155.77,74.0,33,36.0,42,10,Active,Male,No,74
ID0x26bd,12/23/2010 07:51 PM,03/14/2015 01:22 PM,91,226.78,269.0,33.0,19,6.0,4,0,Passive,Female,No,28
ID0x765,06/14/2013 07:17 PM,03/23/2019 02:55 AM,192,,97.18,78.0,36,30.0,37,5,Active,Male,No,104
ID0x326e,04/30/2016 12:28 PM,10/23/2020 04:57 PM,300,1740.04,126.26,106.0,47,15.0,60,5,Active,Female,No,131
ID0x2834,07/12/2013 06:24 AM,05/06/2014 10:12 AM,29,97.94,220.22,9.0,7,,3,0,Inactive,Female,No,31
ID0x3a02,08/09/2010 10:07 AM,10/11/2017 01:45 PM,94,1157.96,252.0,51.0,13,9.0,3,1,Passive,Male,No,39
ID0xcb0,04/14/2019 12:40 AM,08/07/2020 07:35 PM,76,87.05,281.0,29.0,9,9.0,7,1,Active,Male,No,80
ID0x2bbc,08/16/2018 08:07 PM,06/20/2019 04:36 PM,23,743.58,162.52,9.0,4,2.0,4,1,Active,Male,No,37
ID0xb72,06/24/2013 05:18 AM,03/16/2015 09:06 AM,36,238.22,230.35,14.0,5,,6,1,Passive,Male,No,25
ID0xa02,06/27/2010 04:08 AM,05/02/2018 07:23 AM,202,300.86,176.41,115.0,30,20.0,46,8,Passive,Male,No,88
ID0x325e,07/12/2015 07:47 AM,08/04/2018 02:39 AM,590,1837.72,187.21,116.0,71,25.0,13,3,Passive,Male,No,123
ID0x3f92,10/12/2012 07:09 AM,05/03/2017 08:30 AM,236,902.16,263.37,81.0,56,23.0,11,13,,Male,No,134
ID0x1bd2,06/15/2017 06:08 AM,07/05/2020 09:59 AM,168,2199.53,316.59,70.0,25,26.0,22,4,Active,Male,Yes,92
ID0x14b1,12/30/2015 03:51 AM,07/25/2019 09:14 PM,185,1996.87,248.78,101.0,43,20.0,41,6,Active,Female,No,90
ID0x2fbe,11/18/2010 12:11 PM,05/23/2016 05:43 PM,253,321.17,165.97,109.0,53,18.0,32,0,Passive,Female,Yes,94
ID0x3ca0,03/14/2013 05:45 AM,03/17/2017 12:53 PM,144,1344.46,109.29,69.0,22,22.0,8,3,Passive,Male,No,127
ID0x2725,04/07/2017 10:22 AM,09/24/2019 11:45 PM,27,772.74,125.11,14.0,3,1.0,1,0,Active,Male,No,78
ID0x114a,09/29/2015 09:19 PM,12/04/2019 02:19 AM,335,1680.14,155.79,120.0,76,44.0,66,7,Active,Male,No,76
ID0x752,03/29/2017 03:46 PM,01/29/2018 03:14 AM,58,765.46,283.0,24.0,10,9.0,9,3,Passive,Male,Yes,99
ID0xb56,06/27/2014 10:02 AM,11/15/2020 10:15 PM,139,576.15,229.77,71.0,19,22.0,14,8,Active,Male,Yes,107
ID0x29fe,06/01/2016 10:21 PM,01/25/2021 01:26 AM,308,1267.54,335.85,147.0,39,45.0,64,17,Active,Male,Yes,116
ID0x2eb1,05/07/2014 01:32 PM,06/03/2015 10:07 PM,55,889.15,129.0,18.0,7,5.0,7,1,Passive,Male,No,74
ID0x118b,03/19/2018 12:05 AM,08/15/2018 09:02 PM,34,282.72,227.28,15.0,8,5.0,4,1,,Male,No,12
ID0x1ff0,03/12/2017 05:26 AM,02/01/2020 01:02 PM,214,2392.18,265.84,102.0,52,29.0,11,9,Active,Male,No,119
ID0x16cf,02/12/2012 06:52 AM,02/23/2021 11:32 AM,154,2014.1,323.89,86.0,31,25.0,8,1,,Male,No,92
ID0x21cb,08/31/2012 07:06 PM,04/23/2018 04:41 PM,195,1378.98,246.97,103.0,25,19.0,37,9,Passive,Male,No,146
ID0x27a5,04/02/2011 01:29 PM,12/25/2020 04:37 PM,177,1810.12,268.06,79.0,40,31.0,11,5,Active,Female,No,132
ID0x3a2a,02/13/2014 12:17 PM,04/14/2014 03:02 PM,61,514.6,256.0,33.0,11,10.0,6,1,Inactive,Male,No,34
ID0x2349,07/08/2010 11:07 PM,03/12/2020 09:42 PM,157,1409.32,296.77,74.0,40,16.0,7,7,Active,Male,No,77
ID0x3d00,07/07/2016 06:27 AM,03/30/2017 04:14 AM,58,488.45,113.0,33.0,7,10.0,11,0,Passive,Female,Yes,66
ID0x24a9,12/18/2019 02:45 AM,01/03/2021 07:28 PM,39,839.34,188.7,20.0,4,2.0,4,0,Active,Female,No,53
ID0x4cb,03/23/2017 09:15 PM,06/25/2020 02:02 AM,108,996.06,316.67,53.0,21,10.0,24,4,Active,Male,No,78
ID0x17ec,09/12/2012 10:05 AM,10/08/2018 12:08 PM,114,1914.3,293.26,40.0,17,13.0,10,4,Passive,Female,Yes,111
